date,open,high,low,close,volume,Company,Symbol
2024-11-27,1787.15,1817.2,1785.3,1811.0,220040.0,HDFC Bank,HDFCBANK.BSE
2024-11-26,1800.0,1804.1,1770.0,1785.4,223498.0,HDFC Bank,HDFCBANK.BSE
2024-11-25,1779.0,1801.9,1765.0,1784.6,1236300.0,HDFC Bank,HDFCBANK.BSE
2024-11-22,1740.15,1753.8,1729.3,1745.95,437651.0,HDFC Bank,HDFCBANK.BSE
2024-11-21,1756.05,1758.75,1733.7,1741.95,182127.0,HDFC Bank,HDFCBANK.BSE
2024-11-19,1715.05,1753.65,1704.0,1742.25,198285.0,HDFC Bank,HDFCBANK.BSE
2024-11-18,1706.2,1718.8,1694.6,1704.5,390479.0,HDFC Bank,HDFCBANK.BSE
2024-11-14,1674.95,1704.6,1674.0,1693.1,418478.0,HDFC Bank,HDFCBANK.BSE
2024-11-13,1711.3,1729.0,1672.5,1681.25,379694.0,HDFC Bank,HDFCBANK.BSE
2024-11-12,1767.2,1773.25,1708.8,1718.35,320337.0,HDFC Bank,HDFCBANK.BSE
2024-11-11,1753.0,1782.5,1751.55,1766.6,1008339.0,HDFC Bank,HDFCBANK.BSE
2024-11-08,1747.05,1761.45,1746.15,1754.55,167441.0,HDFC Bank,HDFCBANK.BSE
2024-11-07,1749.95,1760.1,1737.8,1746.15,131631.0,HDFC Bank,HDFCBANK.BSE
2024-11-06,1765.2,1772.0,1745.25,1754.15,223185.0,HDFC Bank,HDFCBANK.BSE
2024-11-05,1707.95,1762.5,1698.0,1757.95,280370.0,HDFC Bank,HDFCBANK.BSE
2024-11-04,1741.4,1743.6,1710.0,1714.05,345175.0,HDFC Bank,HDFCBANK.BSE
2024-11-01,1748.95,1748.95,1728.75,1737.8,44886.0,HDFC Bank,HDFCBANK.BSE
2024-10-31,1730.0,1739.65,1719.05,1734.95,511754.0,HDFC Bank,HDFCBANK.BSE
2024-10-30,1747.95,1755.0,1724.4,1735.0,182610.0,HDFC Bank,HDFCBANK.BSE
2024-10-29,1725.1,1763.7,1725.1,1751.0,287101.0,HDFC Bank,HDFCBANK.BSE
2024-10-28,1738.8,1750.9,1728.95,1734.3,2396045.0,HDFC Bank,HDFCBANK.BSE
2024-10-25,1757.0,1758.35,1729.0,1742.6,774016.0,HDFC Bank,HDFCBANK.BSE
2024-10-24,1737.55,1768.65,1737.55,1750.1,236712.0,HDFC Bank,HDFCBANK.BSE
2024-10-23,1702.3,1746.45,1702.3,1735.7,267503.0,HDFC Bank,HDFCBANK.BSE
2024-10-22,1729.0,1740.0,1710.95,1714.1,445656.0,HDFC Bank,HDFCBANK.BSE
2024-10-21,1720.05,1748.2,1710.5,1728.8,1400462.0,HDFC Bank,HDFCBANK.BSE
2024-10-18,1662.4,1691.0,1654.05,1681.15,371781.0,HDFC Bank,HDFCBANK.BSE
2024-10-17,1692.4,1698.25,1665.15,1673.35,351314.0,HDFC Bank,HDFCBANK.BSE
2024-10-16,1677.55,1707.7,1677.55,1699.95,300565.0,HDFC Bank,HDFCBANK.BSE
2024-10-15,1692.55,1698.0,1675.65,1684.4,250762.0,HDFC Bank,HDFCBANK.BSE
2024-10-14,1658.0,1692.0,1654.95,1688.5,772437.0,HDFC Bank,HDFCBANK.BSE
2024-10-11,1664.0,1665.05,1643.2,1650.25,554980.0,HDFC Bank,HDFCBANK.BSE
2024-10-10,1643.0,1665.0,1633.0,1662.3,314242.0,HDFC Bank,HDFCBANK.BSE
